PAYOUT,NET_PREMIUM_AMOUNT,PIPE_PREMIUM_AMOUNT,RISK_SCORE
1029.47,52.164,5.73804,179.41143665781348
1365.82,269.748,115.99164,11.775158968353235
638.0,117.582,12.93402,49.32727798472556
1371.44,344.658,148.20293999999998,9.253797529252797
636.33,2581.992,1110.2565599999998,0.5731377979878814
636.33,2581.992,1110.2565599999998,0.5731377979878814
2412.2,441.816,30.92712,77.99626994042768
4884.75,139.44,59.9592,81.46789817075611
4024.25,3653.328,1570.93104,2.561697424986905
4024.25,3653.328,1570.93104,2.561697424986905
0.0,83.96999999999998,9.2367,0.0
9350.99,416.712,179.18616,52.18589426772692
4981.42,807.27,347.1261,14.350462267170345
6714.66,172.33200000000002,74.10276,90.61281927960576
801.35,258.3,111.069,7.214884441203216
1637.24,851.5799999999999,366.1794,4.4711417409062335
1637.24,851.5799999999999,366.1794,4.4711417409062335
1907.57,231.072,99.36096,19.198385361816147
10164.37,184.764,79.44851999999999,127.93655564634813
13119.0,717.12,308.3616,42.54420783910837
329.87,610.548,262.53564,1.2564770253669175
134.49,290.832,125.05776,1.0754230685085036
1200.09,208.254,89.54921999999999,13.401456763107484
4550.25,,,
1239.42,420.948,29.466360000000005,42.06220245731064
9630.3,133.14,57.25019999999999,168.2142595135039
1483.98,119.418,13.13598,112.9706348517583
5206.77,397.11,170.7573,30.492224929768746
0.0,397.11,170.7573,0.0
622.41,151.998,65.35914,9.522922119232293
821.0,107.892,11.86812,69.17692102877288
56819.66,610.548,262.53564,216.42646308897335
1195.07,212.082,14.845740000000005,80.49918697215496
18746.71,290.88,20.361600000000003,920.68943501493
0.0,372.456,26.07192,0.0
144.99,47.97,5.2767,27.47740064813236
300.0,225.036,96.76548,3.100279149134588
8463.81,714.288,50.00016000000001,169.27565831789337
1333.2,134.544,57.85392,23.04424661284836
0.0,42.9,4.719,0.0
530.36,355.572,152.89596,3.4687639882701937
312.0,122.748,13.50228,23.107208560332037
1502.15,340.512,146.42016,10.25917469288382
704.26,260.952,112.20936,6.27630350979633
7251.28,265.11,113.9973,63.60922583254164
610.07,191.232,82.22976,7.419090120170606
0.0,456.39,196.2477,0.0
2000.0,137.844,44.11008,45.3411102405618
6800.0,265.308,114.08244,59.60601824435032
119.0,300.048,129.02064,0.92233304686754
600.0,51.264,5.63904,106.40108954715696
0.0,1688.562,726.0816599999999,0.0
0.0,471.81,33.026700000000005,0.0
4724.23,183.876,79.06667999999999,59.74994776560746
2240.0,,,
20824.77,978.288,420.66384,49.50454025237824
1811.36,545.49,234.5607,7.72235076037887
58.31,413.556,28.94892,2.0142374914159147
1935.22,55.77,6.1347000000000005,315.45470846170144
712.66,231.156,99.39708,7.169828328960972
3384.74,106.464,45.77952,73.93568128280943
0.0,,,
399.78,103.584,44.54111999999999,8.975526434898809
225.91,393.726,169.30218,1.3343596638861943
4620.44,317.388,136.47683999999998,33.855121499003054
4569.11,462.384,198.82512,22.98054692485537
0.0,314.58,135.2694,0.0
2811.8,223.176,95.96568,29.30005810410556
221.81,66.384,7.30224,30.375610771489296
1806.98,244.02,104.9286,17.22104364301058
2100.0,3915.15,1683.5144999999998,1.2473905036160962
2100.0,3915.15,1683.5144999999998,1.2473905036160962
0.0,333.462,143.38866,0.0
2065.0,283.92,122.0856,16.91436172652631
0.0,44.766,4.924259999999999,0.0
19824.7,465.642,200.22606,99.01158720298449
4609.39,181.494,78.04241999999999,59.0626226096013
289.28,414.114,178.06902000000002,1.6245386199126606
968.0,103.998,11.43978,84.6170118656128
641.51,1554.462,668.4186599999999,0.959742805504562
0.0,331.254,142.43922,0.0
773.8,1554.462,668.4186599999999,1.1576576871746818
893.9,125.496,53.96328,16.56496788186337
0.0,118.518,50.96274,0.0
3384.96,301.824,129.78432,26.081424936386767
4249.1,617.52,265.5336,16.002117999379365
0.0,68.724,7.559640000000001,0.0
4981.04,,,
150.0,60.372,6.64092,22.58723188955747
1647.31,396.54,170.51219999999998,9.660950946618485
1067.44,958.23,412.0389,2.5906291857395023
1067.44,958.23,412.0389,2.5906291857395023
1256.33,338.082,145.37526,8.641979384937986
3671.09,822.3539999999999,353.61222,10.381683076450244
9098.95,84.162,36.18966,251.42402553657595
2436.27,,,
5875.43,367.812,158.15916,37.14884424019451
1396.28,93.84,10.3224,135.26699217236302
1741.15,320.136,22.40952,77.69688953623282
293.87,179.79,77.30969999999999,3.801204764731981
0.0,27.282,3.00102,0.0
0.0,281.868,121.20324,0.0
977.11,106.668,45.86724,21.303004061286444
616.28,141.822,60.98346,10.105690952923956
0.0,280.308,19.62156,0.0
239.9,271.89,116.9127,2.051958427099879
1500.0,616.512,265.10016,5.6582387577585775
1500.0,616.512,265.10016,5.6582387577585775
498.74,352.54200000000003,151.59306,3.2899922991197617
1468.14,338.082,145.37526,10.098967320849503
6924.63,543.078,233.52354,29.652813587872128
4198.19,696.0479999999999,299.30064,14.02666562958235
0.0,1218.0359999999998,523.7554799999999,0.0
1359.71,233.022,100.19946,13.570033211755836
0.0,184.38,59.0016,0.0
198.49,,,
464.02,310.458,133.49694,3.4758849154145404
3568.68,253.98,109.2114,32.67680846505035
1506.94,264.408,18.508560000000003,81.4185436360257
500.0,300.144,129.06192,3.8741094197265937
913.05,238.446,102.53178,8.90504388005358
1250.69,613.536,263.82048,4.740685787547655
252.28,148.452,63.83436,3.952103537969207
694.36,582.426,250.44318,2.772525089323654
788.26,,,
97.25,,,
2737.33,147.75,63.5325,43.0855074174635
3637.64,651.906,280.31958,12.976760310499897
345.65,339.23999999999995,145.87319999999997,2.369523668501137
1794.0,305.574,21.390180000000004,83.8702619613299
765.17,316.824,136.23431999999997,5.616572975150462
308.48,210.528,90.52704,3.407600646171575
937.5,51.96,5.715599999999999,164.02477430191058
770.82,163.69199999999998,70.38756,10.951082833387035
3016.51,293.256,126.10008,23.921555006150676
0.0,,,
0.0,1405.1819999999998,604.2282599999999,0.0
0.0,,,
1440.1,,,
0.0,48.432,5.32752,0.0
987.09,216.108,92.92644,10.622272842906712
8701.34,372.324,26.06268,333.86205869849147
3566.3,189.39,60.6048,58.84517397961879
14592.5,303.474,130.49382,111.82521900270832
4950.37,197.112,84.75815999999999,58.40582192912164
1527.59,101.136,43.48848,35.12631391117832
535.95,94.944,40.82592,13.127689467867471
3012.99,488.136,209.89848,14.35451080922549
1280.49,314.712,135.32616,9.46225031435164
1280.49,314.712,135.32616,9.46225031435164
5775.16,,,
1049.05,214.884,92.40012,11.353340233757272
1908.81,79.704,8.767439999999999,217.7157756426049
1000.0,189.9,20.889,47.87208578677773
29107.01,309.6,133.128,218.63927949041525
390.02,669.894,288.05442,1.353980265256822
6742.0,708.1080000000001,304.48644,22.142201143669972
